HomeCornersAvg,AwayCornersAvg,HomeYellowAvg,AwayYellowAvg,CornersOver9_5,CardsOver4_5
27,4.54,4.41,68,1,0
22,6.52,5.5,74,0,1
35,5.09,4.66,74,1,0
27,6.34,6.78,83,1,1
27,5.44,4.59,62,1,0
24,4.34,4.79,83,0,1
22,4.45,4.5,77,0,1
21,5.46,3.95,86,0,1
28,3.77,5.29,59,1,0
35,4.54,4.51,54,1,0
27,5.26,4.59,74,1,0
28,4.67,4.61,89,1,1
33,5.0,4.15,77,1,1
28,5.17,4.18,86,1,1
26,5.0,4.58,77,0,1
22,6.34,3.68,83,0,1
27,6.19,6.26,71,1,0
22,4.42,5.5,76,0,1
34,4.89,5.26,75,1,1
26,3.92,4.88,67,0,0
35,4.42,5.63,83,1,1
21,3.78,3.67,74,0,0
24,4.58,4.21,63,0,0
25,5.83,7.0,71,0,0
28,4.27,5.0,65,1,0
27,4.66,5.81,80,1,1
28,5.61,4.43,86,1,1
25,6.34,4.44,83,1,1
35,4.09,3.09,54,1,0
34,5.12,6.18,76,1,1
35,5.46,4.14,54,1,0
24,7.29,5.25,75,1,1
35,4.46,4.86,71,1,0
33,6.52,4.79,74,1,1
24,7.32,5.33,88,1,1
27,4.5,5.41,63,1,0
28,4.42,3.96,58,1,0
27,3.42,4.33,88,0,1
34,4.67,5.26,89,1,1
27,5.67,4.52,86,1,1
28,4.29,3.71,58,1,0
24,6.19,2.96,71,0,0
28,4.83,5.43,80,1,1
27,4.86,6.78,71,1,0
27,5.4,4.0,77,1,1
21,4.85,4.29,65,0,0
24,4.66,5.83,80,0,1
27,5.59,4.67,85,1,1
24,3.79,3.92,50,0,0
24,3.67,4.25,48,0,0
24,4.54,6.04,54,0,0
35,4.91,5.03,45,1,0
28,5.18,4.21,61,1,0
35,5.44,4.63,76,1,1
27,5.96,5.52,74,1,1
24,3.71,6.21,88,0,1
33,5.13,3.85,83,1,1
27,4.64,4.81,82,1,1
25,6.37,3.76,74,1,0
24,4.78,4.13,85,0,1
35,4.42,3.86,71,1,0
33,4.67,4.15,71,1,0
24,5.15,6.17,70,0,0
27,4.67,6.22,71,1,0
24,4.93,5.33,78,0,1
35,3.67,5.49,48,1,0
26,5.13,5.42,74,0,1
24,5.15,6.17,70,0,0
35,4.3,4.83,65,1,0
24,4.3,4.79,65,0,0
27,3.79,6.07,46,0,0
26,3.73,4.23,65,0,0
26,5.13,4.12,79,0,1
33,3.83,5.12,83,1,1
22,4.83,4.41,67,0,0
23,4.61,4.52,65,0,0
28,4.27,5.25,65,1,0
35,4.92,4.83,67,1,0
28,4.36,5.43,84,1,1
27,5.74,6.22,81,1,1
27,4.61,3.89,65,1,0
27,5.74,6.22,81,1,1
27,5.43,6.07,76,1,1
24,5.08,4.29,71,0,0
24,5.44,4.92,62,0,0
32,5.0,5.03,80,1,1
27,5.36,4.78,80,1,1
28,3.56,4.79,63,1,0
27,5.56,5.52,78,1,1
24,4.97,4.67,77,0,1
33,5.7,5.06,61,1,0
33,4.27,5.33,62,1,0
26,5.19,4.77,67,0,0
35,5.15,4.57,70,1,0
27,4.29,4.33,58,1,0
27,5.13,5.33,79,1,1
24,4.61,4.54,65,0,0
27,3.42,4.07,63,0,0
28,5.69,5.18,97,1,1
26,4.33,4.23,67,0,0
24,5.91,4.0,79,0,1
26,3.79,4.69,71,0,0
27,5.46,4.59,71,1,0
24,3.62,4.13,54,0,0
28,5.71,5.93,79,1,1
28,5.44,4.93,94,1,1
23,4.64,3.74,82,0,1
24,4.27,5.0,73,0,0
28,5.46,4.96,86,1,1
34,5.36,5.26,80,1,1
33,4.27,5.06,65,1,0
25,5.08,4.84,92,0,1
27,4.41,4.0,59,1,0
27,3.89,6.26,59,0,0
27,5.07,5.11,93,1,1
24,4.06,4.96,79,0,1
28,3.73,4.32,65,1,0
26,5.26,5.42,82,0,1
27,3.56,4.52,59,0,0
24,3.87,4.63,70,0,0
28,4.67,5.71,64,1,0
27,4.76,4.67,70,1,0
24,3.7,4.79,70,0,0
25,4.66,4.12,80,0,1
26,5.61,5.42,86,1,1
25,5.96,6.0,83,0,1
23,5.39,4.52,82,0,1
34,4.91,4.91,45,1,0
35,5.89,4.14,81,1,1
35,4.52,5.26,70,1,0
24,5.21,4.0,63,0,0
29,3.17,4.79,67,1,0
24,4.46,4.29,77,0,1
29,4.83,4.24,86,1,1
22,4.46,4.41,77,0,1
34,4.09,5.21,59,1,0
35,5.11,5.49,59,1,0
23,3.42,4.09,88,0,1
28,4.67,3.71,64,1,0
25,5.21,4.4,63,0,0
27,4.5,5.07,67,1,0
25,4.56,2.92,82,0,1
27,5.46,5.81,86,1,1
28,5.75,4.93,86,1,1
28,3.48,4.43,78,1,1
25,3.83,4.08,83,0,1
24,4.42,5.63,71,0,0
29,4.67,6.07,67,1,0
27,5.19,4.48,67,1,0
35,5.39,5.0,82,1,1
24,3.42,4.25,71,0,0
24,4.3,5.83,76,0,1
24,6.3,5.0,82,0,1
27,4.63,4.33,79,1,1
25,4.71,4.08,63,0,0
24,6.94,4.5,94,0,1
24,5.46,4.29,86,0,1
22,5.07,4.5,79,0,1
35,4.85,7.43,56,1,0
27,4.31,2.7,77,1,1
29,4.57,4.79,75,1,1
26,4.92,4.88,67,0,0
26,4.93,4.69,68,0,0
34,4.6,4.41,66,1,0
28,4.89,5.29,75,1,1
28,4.96,5.43,81,1,1
24,3.73,4.13,65,0,0
25,4.82,5.04,86,0,1
27,3.71,4.67,88,0,1
26,6.3,3.92,82,1,1
21,5.4,4.43,77,0,1
26,5.46,4.23,71,1,0
35,5.04,6.63,83,1,1
27,5.37,6.22,81,1,1
34,4.48,5.82,74,1,1
26,3.79,5.27,50,0,0
27,3.17,5.63,69,0,0
24,4.83,3.46,67,0,0
32,4.71,4.72,63,1,0
33,5.13,4.36,83,1,1
33,4.63,4.15,79,1,1
28,3.54,5.68,42,1,0
33,5.38,5.97,71,1,0
35,4.0,5.4,63,1,0
24,5.41,5.33,81,0,1
26,4.91,4.69,45,0,0
24,5.56,4.33,78,0,1
25,5.56,5.68,78,0,1
